,date,addressCount,marketCap,supply,price,blockSize,dailyTransactions,NumERC20TokenTransfers,blockTime,gasPrice,gasLimit,gasUsed,blockCountsandReward,blockReward,uncles,ERC20_uniqueAddressTotalCount,ERC20_uniqueAddressReceiveCount,ERC20_uniqueAddressSentCount,ETH_uniqueAddressTotalCount,ETH_uniqueAddressReceiveCount,ETH_uniqueAddressSentCount,dailyETHBurnt,TranasctionFees,blockDifficulty,networkHash,networkTransactionFees,networkUtilization,pendingTransactions,contractsVerified,ENSRegistration
0,7/30/2015,9205,0.0,72049306.59375,0.00,644,8893,0,4.46,0,0,0,6912,39316.09375,1299,0,0,0,8894,1,8893,4106.95595424633,0,0.121,11.5297,0,0.0,160320,0,0.0
1,7/31/2015,9361,0.0,72085498.3125,0.00,582,0,0,12.58,0,0,0,6863,36191.71875,511,0,0,0,0,0,0,4218.14736692088,0,0.603,51.4594,0,0.0,160474,0,0.0
2,8/1/2015,9476,0.0,72113204.25,0.00,575,0,0,16.34,0,0,0,5293,27705.9375,334,0,0,0,0,0,0,4191.26648675989,0,0.887,57.7845,0,0.0,160775,0,0.0
3,8/2/2015,9563,0.0,72141427.6875,0.00,581,0,0,16.12,0,0,0,5358,28223.4375,394,0,0,0,0,0,0,4247.41070361458,0,1.02,67.9224,0,0.0,160815,0,0.0
4,8/3/2015,9639,0.0,72169404.40625,0.00,587,0,0,16.37,0,0,0,5280,27976.71875,443,0,0,0,0,0,0,5313.68392612979,0,1.126,74.5737,0,0.0,161245,0,0.0
5,8/4/2015,9696,0.0,72197882.84375,0.00,587,0,0,16.1,0,0,0,5368,28478.4375,458,0,0,0,0,0,0,5226.85600756341,0,1.217,82.0352,0,0.0,161682,0,29.0
6,8/5/2015,9749,0.0,72225411.4375,0.00,579,0,0,16.51,0,0,0,5235,27528.59375,371,0,0,0,0,0,0,4953.00140222346,0,1.328,86.1558,0,0.0,161346,0,188.0
7,8/6/2015,9790,0.0,72252486.90625,0.00,584,0,0,16.89,0,0,0,5116,27075.46875,411,0,0,0,0,0,0,4750.44292600992,0,1.381,88.3326,0,0.0,161631,0,318.0
8,8/7/2015,10314,200.215391038125,72279924.5625,2.77,633,2050,0,16.65,604684154870,122980,49353826,5189,27437.65625,409,0,0,0,1087,784,609,4220.70039227873,0,1.471,95.2981,37318413511279304835,0.1317,161591,0,343.0
9,8/8/2015,10730,58.56937308,72307868.0,0.81,668,2881,0,16.44,322713574989,1940277,376006093,5256,27943.4375,458,0,0,0,827,605,477,5277.1569057552,0,1.586,104.8971,68099970071856826797,0.0468,161756,0,631.0
10,8/9/2015,11004,53.527934248125,72335046.28125,0.74,618,1329,0,16.86,475467129048,3141325,38863003,5123,27178.28125,421,0,0,0,733,462,500,4769.67697173914,0,1.709,109.6916,14098949703205590944,0.0024,162257,0,603.0
11,8/10/2015,11679,49.206747265,72362863.625,0.68,631,2037,0,16.44,421654904254,3141511,74070061,5255,27817.34375,415,0,0,0,1002,821,763,4334.17847763403,0,1.838,120.5988,31165144438378735884,0.0045,162292,0,1267.0
12,8/11/2015,13576,76.73434492375,72390891.4375,1.06,692,4963,0,16.37,77838819162,3141521,163481740,5280,28027.8125,438,0,0,0,2343,2132,2112,3869.73628581714,0,2.036,134.7695,11311448586019755030,0.0099,162467,0,935.0
